decimalLongitude,decimalLatitude,status
-101.75,23.75,0
-88.75,20.25,0
-97.25,16.75,0
-100.25,19.25,0
-96.75,17.75,0
-86.25,12.75,0
-96.75,18.75,0
-84.75,14.25,0
-86.25,14.25,0
-87.75,20.25,0
-88.25,17.75,0
-99.25,16.75,0
-101.75,17.75,0
-95.75,16.75,0
-91.75,17.75,0
-82.25,22.75,0
-95.25,16.75,0
-84.25,13.25,0
-100.25,18.25,0
-95.25,17.25,0
-100.25,23.25,0
-99.75,19.25,0
-88.25,20.75,0
-97.75,19.25,0
-89.75,16.75,0
-95.75,18.75,0
-97.75,16.75,0
-100.75,20.25,0
-88.75,13.75,0
-100.75,17.75,0
-100.75,21.75,0
-89.25,14.75,0
-84.25,14.25,0
-97.75,21.75,0
-87.25,13.25,0
-98.25,18.75,0
-88.75,21.25,0
-91.25,14.75,0
-84.75,15.75,0
-97.75,18.25,0
-99.75,16.75,0
-88.25,19.75,0
-91.25,15.25,0
-89.25,20.75,0
-101.25,17.75,0
-101.25,22.75,0
-97.25,19.25,0
-90.25,14.25,0
-101.25,19.25,0
-89.75,19.25,0
-93.75,17.25,0
-88.75,14.75,0
-91.75,14.25,0
-90.75,17.75,0
-100.75,22.75,0
-96.25,19.25,0
-101.75,23.25,0
-98.75,16.75,0
-98.25,18.25,0
-98.75,19.75,0
-99.25,18.25,0
-83.75,13.25,0
-92.25,16.25,0
-94.75,18.25,0
-93.25,15.75,0
-88.25,13.25,0
-91.75,17.25,0
-98.75,20.75,0
-87.75,18.75,0
-88.25,13.75,0
-94.25,17.75,0
-95.25,18.25,0
-87.25,15.25,0
-94.75,16.75,0
-94.75,17.75,0
-99.75,21.25,0
-100.25,23.75,0
-100.25,21.25,0
-93.25,16.75,0
-101.25,18.25,0
